year,directorate,street,count
2009,11,ALT-HEILIGENSEE / HEILIGENSEESTR. / HENNIGSDORFER STR. / SCHULZENDORFER STR.,2
2009,11,AM BORSIGTURM,1
2009,11,AM DACHSBAU,1
2009,11,AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM,1
2009,11,AROSER ALLEE,1
2009,11,AROSER ALLEE / LINDAUER ALLEE,1
2009,11,AUGUSTE-VIKTORIA-ALLEE / HUMBOLDTSTR. / OLLENHAUERSTR.,1
2009,11,BASELER STR. / EMMENTALER STR.,1
2009,11,BERLINER STR.,3
2009,11,BERLINER STR. / EGELLSSTR. / WITTESTR.,1
2009,11,BERLINER STR. / NAMSLAUSTR.,2
2009,11,BERNAUER STR.,4
2009,11,BERNAUER STR. / STERKRADER STR.,2
2009,11,EGELLSSTR.,1
2009,11,EICHBORNDAMM,1
2009,11,EICHBORNDAMM / WALDSTR. / WITTESTR.,2
2009,11,ERNSTSTR. / SCHUBARTSTR.,1
2009,11,ERNSTSTR. / TIETZSTR.,1
2009,11,FLOTTENSTR. / ROEDERNALLEE,2
2009,11,GORKISTR.,2
2009,11,GOTTHARDSTR.,1
2009,11,GOTTHARDSTR. / SCHARNWEBERSTR.,2
2009,11,GRUßDORFSTR.,1
2009,11,HENNIGSDORFER STR.,1
2009,11,HOLZHAUSER STR.,1
2009,11,HUMBOLDTSTR. / LINDAUER ALLEE,1
2009,11,INNUNGSSTR. / OTISSTR. / WITTESTR.,1
2009,11,KRANTORWEG,1
2009,11,KURT-SCHUMACHER-DAMM,1
2009,11,LINDAUER ALLEE / OLLENHAUERSTR. / WALDSTR.,3
2009,11,LINDAUER ALLEE / ROEDERNALLEE / TEICHSTR.,1
2009,11,OLLENHAUERSTR.,6
2009,11,ROEDERNALLEE,1
2009,11,RUPPINER CHAUSSEE,4
2009,11,SCHARNWEBERSTR.,7
2009,11,SCHULZENDORFER STR.,2
2009,11,SEIDELSTR.,1
2009,11,WAIDMANNSLUSTER DAMM,1
2009,11,WALDSTR.,2
2009,11,WITTESTR.,1
2009,11,ALT-TEGEL / BERLINER STR. / BERNSTORFFSTR.,1
2009,11,AM NORDGRABEN / HOLZHAUSER STR.,1
2009,11,AROSER ALLEE / HOLLÄNDERSTR.,2
2009,11,BERLINER STR. / KAROLINENSTR. / SCHLOßSTR. / AM TEGELER HAFEN,1
2009,11,BRUSEBERGSTR.,2
2009,11,BUDDESTR. / GRUßDORFSTR.,1
2009,11,CONRADSTR. / HOLZHAUSER STR. / SOLTAUER STR.,1
2009,11,ERNSTSTR.,1
2009,11,GORKISTR. / ZIEKOWSTR.,2
2009,11,HOLLÄNDERSTR.,2
2009,11,HOLZHAUSER STR. / WITTESTR.,2
2009,11,KAPWEG / SCHARNWEBERSTR.,2
2009,11,ANTONIENSTR.,2
2009,11,BUDDESTR.,1
2009,11,BUDDESTR. / GORKISTR.,1
2009,11,HATZFELDTALLEE / ZIEKOWSTR.,1
2009,11,HEILIGENSEESTR. / KAROLINENSTR. / RUPPINER CHAUSSEE,1
2009,11,KAPWEG,1
2009,11,OTISSTR. / SEIDELSTR. / ALLEE ST. EXUPERY,2
2009,11,RUPPINER CHAUSSEE / STOLPMÜNDER WEG,1
2009,11,AM NORDGRABEN / TRIFTSTR. / TRIFTBRÜCKE,1
2009,11,BRUNOWSTR.,1
2009,11,KIENHORSTSTR.,1
2009,11,SAALMANNSTR. / WALDSTR.,1
2009,11,HEILIGENSEESTR. / NORDDORFER PFAD,1
2009,11,KIENHORSTSTR. / OLLENHAUERSTR.,1
2009,11,ZOBELTITZSTR.,1
2009,11,EICHBORNDAMM / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1
2009,11,HERMSDORFER DAMM / WAIDMANNSLUSTER DAMM / A 111 BAB AUTOBAHNZUBRINGER HAMBURG /,1
2009,11,KURT-SCHUMACHER-DAMM / OLLENHAUERSTR. / SCHARNWEBERSTR. / KURT-SCHUMACHER-PLATZ,1
2009,11,ANDORNSTEIG / SCHULZENDORFER STR.,1
2009,11,ROEDERNALLEE / THYSSENSTR.,1
2009,11,GORKISTR. / MARZAHNSTR.,1
2009,11,ANTONIENSTR. / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,3
2009,11,HOLZHAUSER STR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS HOLZHAUSER STR AU,1
2009,11,BERLINER STR. / BRUNOWSTR.,1
2009,11,BERNAUER STR. / SEIDELSTR.,1
2009,11,ALT-HEILIGENSEE / DORFAUE HEILIGENSEE,1
2009,11,BASDORFER ZEILE / GORKISTR.,1
2009,11,BLANKESTR. / SCHARNWEBERSTR.,1
2009,11,BREITENBACHSTR. / HOLZHAUSER STR. / SCHUBARTSTR.,1
2009,11,FLUGPLATZ TEGEL,2
2009,11,GENERAL-BARBY-STR. / WALDSTR.,1
2009,11,HOLZHAUSER STR. / TIETZSTR.,1
2009,11,OTISSTR. / QUÄKERSTR.,1
2009,11,TITUSWEG / WAIDMANNSLUSTER DAMM / ZIEKOWSTR.,1
2009,11,ALTENHOFER WEG,1
2009,11,BERNAUER STR. / STRAßE R (HOKA IV),1
2009,11,BUDDESTR. / BERNSTORFFSTR.,2
2009,11,FRIEDERIKESTR.,1
2009,11,JULIERSTR.,1
2009,11,BERNAUER STR. / MESCHEDER WEG,1
2009,11,EGIDYSTR. / WAIDMANNSLUSTER DAMM,1
2009,11,GENERAL-BARBY-STR. / KIENHORSTSTR.,1
2009,11,GOTTHARDSTR. / TEICHSTR.,1
