street,count,year,directorate,lat,lng,features
ADELHEIDALLEE / AN DER MÜHLE / GABRIELENSTR.,1,2015,11,13.2786544,52.5940403,4796341-4796467-19793804
ALT-HEILIGENSEE,1,2015,11,13.2125310214956,52.606811173843,5046518
ALT-TEGEL / MEDEBACHER WEG,1,2015,11,13.277237798156001,52.5890551803616,4796508-4796786
AM BÄRENSPRUNG,1,2015,11,13.2449400738937,52.610261380144,21278814
AM DACHSBAU / HELMKRAUTSTR.,1,2015,11,13.2335303,52.6163995,5046979-5047016
AM DACHSBAU / RUPPINER CHAUSSEE,1,2015,11,13.2358602,52.6211396,4795846-5046979
AM DACHSBAU / WILDGANSSTEIG,1,2015,11,13.230738,52.6093174,5046979-5046985
AM NORDGRABEN,1,2015,11,13.3290692272817,52.5874612659903,4678210
AM NORDGRABEN / EICHBORNDAMM,3,2015,11,13.3240508,52.5875773,4678199-4678210
AM TEGELER HAFEN,1,2015,11,13.2783149345904,52.589858573794,4796472
AN DER MÜHLE / KAROLINENSTR. / WAIDMANNSLUSTER DAMM / FLIEßBRÜCKE,2,2015,11,13.280874650000001,52.5937785,4540101-4645180-4796341
ANTONIENSTR.,1,2015,11,13.3126833531434,52.5736476684557,4537077
ANTONIENSTR. / WITTESTR.,1,2015,11,13.3141432,52.5767033,4537077-4589063
AROSER ALLEE,2,2015,11,13.3519484642675,52.5663487806684,4581788
AROSER ALLEE / GRINDELWALDWEG,1,2015,11,13.3528887,52.5643775,4581788-4638305
AROSER ALLEE / HOLLÄNDERSTR.,1,2015,11,13.3539599,52.5620932,4581788-4610047
AROSER ALLEE / LINDAUER ALLEE,2,2015,11,13.352008099999999,52.5737367,4067951-4581788
AUGUSTE-VIKTORIA-ALLEE,4,2015,11,13.3188971639306,52.5706204885626,12305946
AUGUSTE-VIKTORIA-ALLEE / SCHILLINGSTR.,1,2015,11,13.3219025,52.5702078,4537080-12305946
BÄRBELWEG,1,2015,11,13.2204983451347,52.5768967279448,142161320
BELOWSTR. / VON-DER-GABLENTZ-STR.,1,2015,11,13.3256166,52.5658223,4675154-10737928
BERENHORSTSTR. / ZOBELTITZSTR.,1,2015,11,13.3244403,52.5679264,8873639-11263882
BERLINER STR.,8,2015,11,13.2885915256673,52.5840254186982,4588911
BERLINER STR. / BIEDENKOPFER STR.,1,2015,11,13.2918459,52.5799593,4588911-4796788
BERLINER STR. / BRUNOWSTR.,2,2015,11,13.2854716,52.5877641,4588911-4796510
BERLINER STR. / EGELLSSTR. / WITTESTR.,2,2015,11,13.2912186,52.5810225,4588911-4589063-4796780
BERLINER STR. / ERNSTSTR. / AM BORSIGTURM,1,2015,11,13.2900057,52.5825572,4588911-4645235-4796771
BERLINER STR. / NAMSLAUSTR.,1,2015,11,13.2931002,52.5787015,4588911-4796801
BERLINER STR. / VEITSTR.,1,2015,11,13.2870266,52.5862081,4588911-4796503
BERNAUER STR.,1,2015,11,13.2594356884283,52.5702316702088,4568174
BERNAUER STR. / KAMENER WEG,2,2015,11,13.2775096,52.5757586,4568174-4579685
BERNAUER STR. / MAIENWERDERWEG,1,2015,11,13.2546009,52.5619711,4568174-6926776
BIEDENKOPFER STR. / STERKRADER STR.,1,2015,11,13.2835953,52.5795651,4796784-4796788
BORGGREVESTR. / HOLZWEIDEPFAD,1,2015,11,13.3383301,52.5736238,4675215-23285693
BORSIGWALDER WEG / MIRAUSTR.,1,2015,11,13.3032979,52.5891287,4804097-25260861
BREITENBACHSTR.,1,2015,11,13.3095570981623,52.5786425692935,8100317
BRUNOWSTR. / BUDDESTR.,1,2015,11,13.2888315,52.5879802,4796510-4804125
BUDDESTR. / BERNSTORFFSTR.,1,2015,11,13.2866304,52.5912748,4796487-4804125
BUDDESTR. / GORKISTR.,2,2015,11,13.2874382,52.5900873,4765928-4804125
CAMPESTR.,1,2015,11,13.2703084047114,52.5919188374881,219906008
CONRADSTR. / HOLZHAUSER STR. / SOLTAUER STR.,1,2015,11,13.3028918,52.5807442,4569873-8752473-8752808
DOHLENSTR. / HABICHTSTR. / SPECHTSTR.,1,2015,11,13.2325753,52.5858551,24335955-24335958-24403265
EICHBORNDAMM,2,2015,11,13.3209782647302,52.5841232253749,4678199
EICHBORNDAMM / SCHARNWEBERSTR. / A 111 BAB AUTOBAHNZUBRINGER HAMBURG / 111 AS EI,1,2015,11,13.3119439,52.567969,4067902-4678199
EICHBORNDAMM / WALDSTR. / WITTESTR.,2,2015,11,13.3150977,52.5765709,4589063-4678199-4706735
ELCHDAMM,1,2015,11,13.2307241359162,52.5999903186868,5046521
ELCHDAMM / HEILIGENSEESTR.,1,2015,11,13.2472751,52.6008602,4645149-5046521
ERNSTSTR.,2,2015,11,13.299272985347,52.5830806588566,4645235
ERNSTSTR. / SCHUBARTSTR.,1,2015,11,13.3026499,52.5843038,4645231-4645235
GENERAL-BARBY-STR.,1,2015,11,13.3183798961769,52.5719789348874,4537082
GENERAL-BARBY-STR. / GENERAL-WOYNA-STR. / MELLER BOGEN,1,2015,11,13.3187186,52.5728603,4537082-4537083-4675235
GENERAL-BARBY-STR. / WALDSTR.,1,2015,11,13.3188928,52.5761148,4537082-4706735
GORKISTR.,1,2015,11,13.3005734632879,52.5914584820212,4765928
GORKISTR. / ZIEKOWSTR.,2,2015,11,13.2920003,52.5905563,4645177-4765928
GOTTHARDSTR.,1,2015,11,13.3422475194141,52.5665334457346,4804202
GOTTHARDSTR. / KAPWEG / SCHARNWEBERSTR.,4,2015,11,13.330582775,52.562509225,4067902-4071978-4804202
HECHELSTR.,1,2015,11,13.3225638623687,52.5678158667392,4675148
HECHELSTR. / SCHARNWEBERSTR.,1,2015,11,13.3217539,52.5656248,4067902-4675148
