street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
ALEMANNENSTR. / MAXIMILIANKORSO,1,2017,12,13.2806915,52.6341015,,2,,,16866582-16885071
ALT-WITTENAU / EICHBORNDAMM,1,2017,12,13.3263192,52.5916679,,2,,,4537077-4765745
ALT-WITTENAU / GORKISTR. / ROSENTRETERPROMENADE,1,2017,12,13.3199915,52.5939269,,3,,,4765745-4765928-4765954
AM KAHLSCHLAG / SIGISMUNDKORSO,1,2017,12,13.2746359,52.6304433,,2,,,16857795-16931255
AM LEHNSHOF / BERLINER STR.,1,2017,12,13.3018981,52.6369117,,2,,,5051463-50484719
AM NORDGRABEN,1,2017,12,13.3290159082598,52.5874631070189,0.8028348271547981,1,5066.20611512817,6065.085519486834,4678210
AMENDESTR.,2,2017,12,13.3691434651511,52.5687017479048,0.0,1,1067.01300016548,2134.02600033096,4637899
AMENDESTR. / RESIDENZSTR.,2,2017,12,13.3624282,52.5672521,,2,,,4594653-4637899
ARMBRUSTWEG / EMMENTALER STR. / REGINHARDSTR.,1,2017,12,13.3660218,52.572462,,3,,,4610134-4637907-4638312
ARTEMISSTR. / BRANDTSTR.,1,2017,12,13.313241,52.6110748,,2,,,4802339-20547483
BERLINER STR.,2,2017,12,13.2840014806453,52.6650751210871,0.0,1,1489.51035907075,2979.0207181415,5051463
BERLINER STR. / BERTRAMSTR. / WACHSMUTHSTR.,1,2017,12,13.310226175,52.629088225000004,,3,,,4805024-5051463-33327632
BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.,1,2017,12,13.30035235,52.637004850000004,,3,,,4804925-4805075-5051463
BERLINER STR. / ROBINIENWEG,1,2017,12,13.30029,52.6368487,,2,,,4804482-5051463
BERTASTR. / SCHILDOWER STR.,1,2017,12,13.3211569,52.6240398,,2,,,4805054-4805066
BREITKOPFSTR.,1,2017,12,13.3650812256651,52.5699601486173,0.0,1,1349.88642590482,2699.77285180964,5117286
BURGFRAUENSTR. / HOHEFELDSTR.,1,2017,12,13.2993177,52.6262464,,2,,,4804925-4804937
BURGFRAUENSTR. / ROEDERNSTR.,1,2017,12,13.309554,52.6273704,,2,,,4804920-4804925
CYCLOPSTR.,1,2017,12,13.3281886633622,52.5995811626737,0.0,1,693.88561253374,1387.77122506748,4765877
DANNENWALDER WEG,1,2017,12,13.3515368421989,52.5922272880385,0.04519342444327636,1,2296.43405566904,4489.084392354234,4765352
DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM,3,2017,12,13.339320325,52.595892075,,3,,,4765110-4765352-4802750
DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM,3,2017,12,13.360624549999999,52.59708465,,3,,,4765110-4765338-4765352
DRONTHEIMER STR. / RITTERLANDWEG / SOLDINER STR. / PROVINZSTR.,1,2017,12,13.3770424,52.5607568,,4,,,4610130-4610131-4610132-8150022
DÜBELPFAD,1,2017,12,13.3428168551079,52.5905622697593,0.0,1,168.989329059088,337.978658118176,4765667
EDELHOFDAMM,1,2017,12,13.2991959059906,52.6355300855933,0.8056352175781311,1,1787.85052942598,2135.3457085806835,4902508
EICHHORSTER WEG / LÜBARSER STR.,1,2017,12,13.3357205,52.6027724,,2,,,4802740-4802786
EMMENTALER STR. / RESIDENZSTR.,2,2017,12,13.3608121,52.5703344,,2,,,4594653-4638312
EMMENTALER STR. / THURGAUER STR.,1,2017,12,13.358147,52.5695269,,2,,,4638312-4638320
FALKENTALER STEIG / HEINSESTR. / HERMSDORFER DAMM,1,2017,12,13.3041351,52.6195503,,3,,,4540161-4804837-28793517
FELLBACHER STR.,1,2017,12,13.3049867686126,52.6165992813848,0.0,1,446.735188927587,893.470377855174,4804563
FELLBACHER STR. / HEINSESTR. / FELLBACHER PLATZ,1,2017,12,13.3075831,52.6162176,,3,,,4804563-28793516-28793517
FINSTERWALDER STR.,1,2017,12,13.344783895244,52.6014821509503,0.07416034137259675,1,1814.95290212436,3495.308277451992,4802750
